student_id,present,absent,attendance_percentage,status
24BCA7237,2,0,100.00,GOOD
24BCA7286,1,1,50.00,LOW ATTENDANCE
24BCA7313,2,0,100.00,GOOD
24BCA7428,2,0,100.00,GOOD
24BCA7913,1,1,50.00,LOW ATTENDANCE
